title,amount,on_what,amount2,on_what2,event_name,min_resilience,min_budget,min_civ_num,min_reg_rel,min_agriculture,min_education,min_security,min_comms,min_social_sec,min_health,min_water,min_energy
להגביר את הזיהום כדי לחמם,0.2,deg,-3,budget,איגואנות קפואות נופלות מהעצים,,3,,,,,,,,,,
לחלק מטריות ענק לכל האזרחים,-3,budget,,,איגואנות קפואות נופלות מהעצים,,3,,,,,,,medium,,,
טוב נו. ננקה אותן פשוט,-4,budget,,,איגואנות קפואות נופלות מהעצים,,4,,,,,,,,,,
להכין בריכות חמימות לאיגואנות בכל המדינה,-1,budget,,,איגואנות קפואות נופלות מהעצים,,1,,,,,,,,,high,
"לייבא קוטל כרישים, אבל זה יקח זמן",-5,budget,-1,civ_num,טורנדו כרישים מעופפים,,5,1,,,,,,,,,
לסבול בשקט ולחכות שזה יעבור,-3,civ_num,,,טורנדו כרישים מעופפים,,,3,,,,,,,,,
להפעיל את המערכת הצבאית ליירט את הכרישים,-1,budget,,,טורנדו כרישים מעופפים,,1,,,,,high,,,,,
להפעיל מאווררי ענק שיזיזו את הכרישים למדינה אחרת,-1,reg_rel,,,טורנדו כרישים מעופפים,,,,terrible,,,,,,,,high
לשפר את מערכת הבריאות,-5,budget,1,health,זיהום אוויר כבד,,5,,,,,,,,medium,,
לבנות מאווררי ענק כדי להעביר את הזיהום למדינה שכנה,-1,reg_rel,-5,budget,זיהום אוויר כבד,,5,,terrible,,,,,,,,
לחכות שזה יעבור,-3,civ_num,,,זיהום אוויר כבד,,,3,,,,,,,,,
הקלות מס לחברות שימכרו אוויר נקי בבקבוקים,-1,resilience,,,זיהום אוויר כבד,terrible,,,,,,,,,,,
לתת לאזרחים לגווע ברעב,-5,civ_num,,,הידלדלות כמות הדגים בים,,,5,,,,,,,,,
להשקיע בחקלאות יבשתית,-5,budget,1,agriculture,הידלדלות כמות הדגים בים,,5,,,,,,,,,,
לייבא דגים ממדינה שכנה,-3,budget,1,reg_rel,הידלדלות כמות הדגים בים,,3,,terrible,,,,,,,,
"להזרים לים חומרים רעילים שיעשו מוטציות בדגים כדי שיתרבו מהר יותר, אבל זה יקח זמן",-2,civ_num,0.2,deg,הידלדלות כמות הדגים בים,,,2,,,,,,,,,
לחכות שזה יעבור,-5,civ_num,,,נחילי ארבה אדירים,,,5,,,,,,,,,
לשלם לחברה פרטית שתחסל את הנחיל,-3,budget,-1,resilience,נחילי ארבה אדירים,terrible,3,,,,,,,,,,
"להקים זרוע בטחונית חדשה, שתחסל את הנחיל",-5,budget,,,נחילי ארבה אדירים,,5,,,,,high,,,,,
להגביר את הזיהום כדי להרוג אותם מחום,0.2,deg,-2,budget,נחילי ארבה אדירים,,2,,,,,,,,,,
לדכא את ההפגנות באלימות,-1,resilience,-1,civ_num,הפגנות ענק וחסימות כבישים נגד משבר האקלים,terrible,,1,,,,medium,,,,,
להקים ועדה שתמצא פתרונות למשבר,-3,budget,,,הפגנות ענק וחסימות כבישים נגד משבר האקלים,,3,,,,,,,,,,
להאשים את המדינה השכנה,-1,reg_rel,,,הפגנות ענק וחסימות כבישים נגד משבר האקלים,,,,terrible,,,,,,,,
להשקיע באנרגיה ירוקה,-5,budget,1,energy,הפגנות ענק וחסימות כבישים נגד משבר האקלים,,5,,,,,,,,,,
מעולה! לתת לה הקלות מס,-1,resilience,,,חברת פחם מתחילה למכור אוויר נקי בבקבוקים,terrible,,,,,,,,,,,
לחלק לכל האזרחים אוויר נקי,-3,budget,,,חברת פחם מתחילה למכור אוויר נקי בבקבוקים,,3,,,,,,,,,,
לאסור על טיסות,-1,resilience,,,"התפרסם דו""ח חמור על השפעת טיסות על משבר האקלים",terrible,,,,,,medium,,,,,
להשקיע בפיתוח מטוסים ירוקים,-5,budget,,,"התפרסם דו""ח חמור על השפעת טיסות על משבר האקלים",,5,,,,,,,,,,
אז מה? שימשיכו לטוס,0.2,deg,,,"התפרסם דו""ח חמור על השפעת טיסות על משבר האקלים",,,,,,,,,,,,
שימשיכו לטוס אבל שישלמו מס על כל טיסה,1,budget,0.1,deg,"התפרסם דו""ח חמור על השפעת טיסות על משבר האקלים",,,,,,,,,,,,
אז מה? שימשיכו לאכול,0.2,deg,,,"התפרסם דו""ח חמור על השפעת תעשיית הבשר על משבר האקלים",,,,,,,,,,,,
"להעביר שיעורים על טבעונות בבתי הספר, אבל זה יקח זמן",-2,budget,0.1,deg,"התפרסם דו""ח חמור על השפעת תעשיית הבשר על משבר האקלים",,2,,,,high,,,,,,
לאסור על ייצור וייבוא בשר למרות התנגדות הציבור,-1,resilience,,,"התפרסם דו""ח חמור על השפעת תעשיית הבשר על משבר האקלים",terrible,,,,,,medium,,,,,
להשקיע בחקלאות כדי למצוא פתרונות ממקורות צמחיים,-5,budget,1,agriculture,"התפרסם דו""ח חמור על השפעת תעשיית הבשר על משבר האקלים",,5,,,,,,,,,,
לקנות במחיר מופקע,-3,budget,,,מחסור בדלק מאובנים,,3,,,,,,,,,,
להשקיע באנרגיה מתחדשת,-5,budget,1,energy,מחסור בדלק מאובנים,,5,,,,,,,,,,
לקדוח אצלנו במקום לקנות,-2,budget,0.2,deg,מחסור בדלק מאובנים,,2,,,,,,,,,,
לספק חשמל שעה ביום,-1,energy,,,מחסור בדלק מאובנים,,,,,,,,,,,,medium
תלמידה המציאה דרך להרחיק את החזירים בעזרת קקי של אריות,-2,budget,,,חזירי בר פולשים לערים,,2,,,,high,,,,,,
לחלק נשק חם לאזרחים כדי שיהרגו אותם,-2,budget,-1,security,חזירי בר פולשים לערים,,2,,,,,medium,,,,,
אי אפשר לפתור את הבעיה אבל אפשר לעזור לאנשים להתמודד עם פוסט טראומה,-2,budget,-1,civ_num,חזירי בר פולשים לערים,,2,1,,,,,,,,,
ללמד ילדים לעלות על מכוניות אם הם פוגשים חזיר,-3,civ_num,,,חזירי בר פולשים לערים,,,3,,,,,,,,,
מה הבעיה? הם עבדו קשה בשביל הכסף הזה ומגיע להם לחיות בזמן שכולנו סובלים,-1,resilience,,,חבורה של עשירים בונים אי מלאכותי לחופי המדינה,terrible,,,,,,,,,,,
"להפציץ את האי, שילמדו לקח",-2,budget,-1,civ_num,חבורה של עשירים בונים אי מלאכותי לחופי המדינה,,2,1,,,,medium,,,,,
להקים איגוד עובדים למי שבונה את האי כדי שישתלטו עליו,1,resilience,-2,budget,חבורה של עשירים בונים אי מלאכותי לחופי המדינה,excellent,2,,,,,,,,,,
להלאים את האי ולהפוך אותו לפרייקט דיור ציבורי,1,resilience,-5,budget,חבורה של עשירים בונים אי מלאכותי לחופי המדינה,,5,,,,,,,,,,
"לעשות תספורות לטייקונים, כלומר לוותר להם על החובות שלהם",-5,budget,-1,resilience,משבר כלכלי עולמי,terrible,5,,,,,,,,,,
להעלות מיסים,2,budget,,,משבר כלכלי עולמי,neutral,,,,,,,,,,,
להפריט את מערכת הבריאות,-1,health,2,budget,משבר כלכלי עולמי,,,,,,,,,,medium,,
"לשלם למדביר נחשים, אבל זה יקח זמן",-3,budget,-3,civ_num,גדילה פתאומית של אוכלוסיית הנחשים במדינה,,3,3,,,,,,,,,
לגרום להתחממות נוספת שתהרוג אותם,0.2,deg,-2,budget,גדילה פתאומית של אוכלוסיית הנחשים במדינה,,2,,,,,,,,,,
"לייבא חתולים שיאכלו את הנחשים, אבל הם הביאו מחלות",-5,budget,-2,civ_num,גדילה פתאומית של אוכלוסיית הנחשים במדינה,,5,2,,,,,,,,,
ללמד ילדים להתרחק מהם,-2,civ_num,,,גדילה פתאומית של אוכלוסיית הנחשים במדינה,,,2,,,high,,,,,,
